iata,month,statcan_geo,metric,value,source_table
YHZ,2020-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,15256,23100312
YHZ,2020-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,14768,23100312
YHZ,2021-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,11231,23100312
YHZ,2021-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,6802,23100312
YHZ,2021-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,7880,23100312
YHZ,2021-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,9165,23100312
YHZ,2021-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,7918,23100312
YHZ,2021-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,9214,23100312
YHZ,2021-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,32858,23100312
YHZ,2021-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,88245,23100312
YHZ,2021-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,85582,23100312
YHZ,2021-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,86651,23100312
YHZ,2021-11-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,61556,23100312
YHZ,2021-12-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,71880,23100312
YHZ,2022-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,37824,23100312
YHZ,2022-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,41335,23100312
YHZ,2022-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,74649,23100312
YHZ,2022-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,91323,23100312
YHZ,2022-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,121249,23100312
YHZ,2022-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,143766,23100312
