route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation
YHM_YVR,base,100000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.4098,1917.0163,0.0181,52.1644,2.7799,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,150000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.5102,2386.4896,0.0225,62.8538,3.4607,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,250000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.6345,2967.9693,0.0280,84.2327,4.3040,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,base,400000,long_haul,active,0,105896.3025,0.0442,144000.0000,0.7353,3439.3527,0.0325,116.3010,4.9875,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,0,long_haul,active,0,105896.3025,0.0810,120000.0000,0.0000,0.0000,0.0000,,0.0000,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,25000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.1724,1655.9495,0.0156,15.0971,1.6760,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,50000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.2941,2824.8550,0.0267,17.7000,2.8590,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,75000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.3846,3694.0412,0.0349,20.3030,3.7387,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,100000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.4545,4365.6850,0.0412,22.9059,4.4185,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,150000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.5556,5335.8372,0.0504,28.1118,5.4004,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,250000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.6757,6489.5318,0.0613,38.5236,6.5681,44.1572,64.4343,19.4444,Needs schedule data before spend decision
YHM_YVR,optimistic,400000,long_haul,active,0,105896.3025,0.0810,120000.0000,0.7692,7388.0823,0.0698,54.1412,7.4775,44.1572,64.4343,19.4444,Needs schedule data before spend decision
