scenario_id,spend_mechanism,effect_strength,effect_multiplier,noise_pct,replicate,model_spec,true_channel_rank,estimated_channel_rank,true_top_channel,estimated_top_channel,top_channel_recovered,top2_budget_direction_overlap,spearman_rank_corr,budget_efficiency_ratio,positive_sign_accuracy,coef_paid_search,coef_paid_social,coef_local_ooh,coef_display_video,true_roi_paid_search,true_roi_paid_social,true_roi_local_ooh,true_roi_display_video
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,28,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>display_video>local_ooh>paid_search,paid_search,paid_social,0,0.500000,-0.400000,0.767924,0.250000,-1247.704097,3081.998556,-130.202762,-1.744552,0.026451,0.017176,0.014472,0.009943
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,28,controlled_saturation,paid_search>paid_social>local_ooh>display_video,display_video>paid_social>local_ooh>paid_search,paid_search,display_video,0,0.500000,-0.800000,0.714269,0.500000,-3.430830,3.609422,-0.165940,4.282268,0.026451,0.017176,0.014472,0.009943
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,29,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,local_ooh>paid_social>display_video>paid_search,paid_search,local_ooh,0,0.500000,-0.400000,0.782648,1.000000,7244.885499,25538.386737,31950.650185,13168.392260,0.026310,0.017135,0.014440,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,29,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920565,0.500000,707.711510,5985.536363,-2034.309148,-152.740714,0.026310,0.017135,0.014440,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,29,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>local_ooh>display_video,paid_search,paid_social,0,1.000000,0.800000,0.931674,0.250000,-0.778646,6.953381,-1.817699,-4.340848,0.026310,0.017135,0.014440,0.009965
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,30,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,display_video>paid_search>paid_social>local_ooh,paid_search,display_video,0,0.500000,-0.200000,0.814434,0.750000,31385.456741,3384.081143,-14655.262631,58970.526411,0.026241,0.017072,0.014367,0.009968
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,30,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>local_ooh>paid_search>display_video,paid_search,paid_social,0,0.500000,0.400000,0.842824,0.250000,-574.717933,445.833251,-498.858313,-3207.568794,0.026241,0.017072,0.014367,0.009968
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,30,controlled_saturation,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920562,0.500000,0.665005,3.615489,-1.976537,-1.486780,0.026241,0.017072,0.014367,0.009968
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,31,naive_raw_spend,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920564,0.750000,22022.587486,48029.806779,-30213.829068,10326.942582,0.026281,0.017109,0.014360,0.009932
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,31,controlled_adstock,paid_search>paid_social>local_ooh>display_video,paid_social>paid_search>display_video>local_ooh,paid_search,paid_social,0,1.000000,0.600000,0.920564,0.750000,2243.401671,3730.285448,-2252.609205,697.020390,0.026281,0.017109,0.014360,0.009932
